ID,CODE,RU_NAME,KZ_NAME,CHANGE_DATE,KATO
158,1926227,ТАСКАЛИНСКИЙ РАЙОН,ТАСЌАЛА АУДАНЫ,2008-03-01 13:21:45,276000000
159,1926244,ТЕРЕКТИНСКИЙ РАЙОН,ТЕРЕКТІ АУДАНЫ,2008-03-01 13:21:45,276200000
160,1926401,УРАЛЬСК,ОРАЛ,2008-03-01 13:21:45,271010000
161,1926258,ЧИНГИРЛАУСКИЙ Р-Н,ШЫЅЄЫРЛАУ АУДАНЫ,2008-03-01 13:21:45,276600000
162,1930403,АБАЙ,АБАЙ,2008-03-01 13:21:45,353220100
163,1930212,АБАЙСКИЙ РАЙОН,АБАЙ АУДАНЫ,2008-03-01 13:21:45,353200000
164,1930202,АГАДЫРСКИЙ РАЙОН,АЄАДЫР,2008-03-01 13:21:45,356400000
165,1930205,АКТОГАЙСКИЙ РАЙОН,АЌТОЄАЙ АУДАНЫ,2008-03-01 13:21:45,353600000
166,1930404,БАЛХАШ,БАЛЌАШ,2008-03-01 13:21:45,351610000
167,1930234,БУХАР-ЖИРАУСКИЙ Р-Н,БЎЌАР ЖЫРАУ,2008-03-01 13:21:45,354000000
168,1930215,ЖАНААРКИНСКИЙ РАЙОН,ЖАЅААРЌА АУДАНЫ,2008-03-01 13:21:45,354400000
169,1930210,ЖЕЗДИНСКИЙ РАЙОН,ЖЕЗДІ,2008-03-01 13:21:45,356000000
170,1930402,ЖЕЗКАЗГАН,ЖЕЗЌАЗЄАН,2008-03-01 13:21:45,351810000
171,1930363,ЖЕЛЕЗНОДОРОЖНЫЙ РАЙОН,ТЕМІРЖОЛ АУДАНЫ,2008-03-01 13:21:45,395243000
172,1930375,КАЗЫБЕК БИ РАЙОН,ЌАЗЫБЕК БИ АУДАНЫ,2008-03-01 13:21:45,351013100
173,1930204,КАЗЫБЕКБИЙСКИЙ РАЙОН,ЌАЗЫБЕК БИ АУДАНЫ,2008-03-01 13:21:45,351013100
174,1930401,КАРАГАНДА,ЌАРАЄАНДЫ,2008-03-01 13:21:45,351010000
175,1930406,КАРАЖАЛ,ЌАРАЖАЛ,2008-03-01 13:21:45,352010000
176,1930208,КАРКАРАЛИНСКИЙ РАЙОН,ЌАРЌАРАЛЫ АУДАНЫ,2008-03-01 13:21:45,354800000
177,1930366,КИРОВСКИЙ РАЙОН,КИРОВ АУДАНЫ,2008-03-01 13:21:45,514400000
178,1930369,ЛЕНИНСКИЙ РАЙОН,ЛЕНИН АУДАНЫ,2008-03-01 13:21:45,351013100
179,1930217,МОЛОДЕЖНЫЙ РАЙОН,МОЛОДЕЖНЫЙ,2008-03-01 13:21:45,355600000
180,1930220,НУРИНСКИЙ РАЙОН,НЎРА АУДАНЫ,2008-03-01 13:21:45,355200000
181,1930372,ОКТЯБРЬСКИЙ РАЙОН,ОКТЯБРЬ АУДАНЫ,2008-03-01 13:21:45,351011100
182,1930224,ОСАКАРОВСКИЙ РАЙОН,ОСАКАРОВ АУДАНЫ,2008-03-01 13:21:45,355600000
183,1930412,ПРИОЗЕРСК,ПРИОЗЕРСК,2008-03-01 13:21:45,352110000
184,1930408,САРАНЬ,САРАН,2008-03-01 13:21:45,352210000
185,1930409,САТПАЕВ,СЈТБАЕВ,2008-03-01 13:21:45,352310000
186,1930230,ТЕЛЬМАНСКИЙ РАЙОН,ТЕЛЬМАН,2008-03-01 13:21:45,354000000
187,1930411,ТЕМИРТАУ,ТЕМІРТАУ,2008-03-01 13:21:45,352410000
188,1930231,ТЕНГИЗСКИЙ РАЙОН,ТЕЅІЗ АУДАНЫ,2008-03-01 13:21:45,355200000
189,1930222,ТОКЫРАЙСКИЙ РАЙОН,ТОЌЫРАУ АУДАНЫ,2008-03-01 13:21:45,356000000
190,1930228,УЛЫТАУСКИЙ РАЙОН,ЎЛЫТАУ АУДАНЫ,2008-03-01 13:21:45,356000000
191,1930414,ШАХТИНСК,ШАХТИНСК,2008-03-01 13:21:45,352810000
192,1930226,ШЕТСКИЙ РАЙОН,ШЕТ АУДАНЫ,2008-03-01 13:21:45,356400000
193,1933204,АРАЛЬСКИЙ РАЙОН,АРАЛ АУДАНЫ,2008-03-01 13:21:45,433200000
194,1933404,БАЙКОНЫР,БАЙЌОЅЫР,2008-03-01 13:21:45,431910000
195,1933208,ЖАЛАГАШСКИЙ РАЙОН,ЖАЛАЄАШ АУДАНЫ,2008-03-01 13:21:45,433600000
196,1933238,ЖАНАКОРГАНСКИЙ Р-Н,ЖАЅАЌОРЄАН АУДАНЫ,2008-03-01 13:21:45,434000000
197,1933213,КАЗАЛИНСКИЙ РАЙОН,ЌАЗАЛЫ АУДАНЫ,2008-03-01 13:21:45,434400000
198,1933216,КАРМАКШИНСКИЙ Р-Н,ЌАРМАЌШЫ АУДАНЫ,2008-03-01 13:21:45,434600000
199,1933401,КЫЗЫЛОРДА,ЌЫЗЫЛОРДА,2008-03-01 13:21:45,431010000
200,1933222,СЫРДАРЬИНСКИЙ Р-Н,СЫРДАРИЯ АУДАНЫ,2008-03-01 13:21:45,434800000
201,1933226,ТЕРЕНОЗЕКСКИЙ Р-Н,ТЕРЕЅҐЗЕК АУДАНЫ,2008-03-01 13:21:45,434800000
202,1933456,ТЮРЕТАМ,ТҐРЕТАМ,2008-03-01 13:21:45,434663100
203,1933232,ШИЕЛИЙСКИЙ РАЙОН,ШИЕЛІ АУДАНЫ,2008-03-01 13:21:45,435200000
204,1937246,АЛТЫНСАРИНСКИЙ РАЙОН,АЛТЫНСАРИН АУДАНЫ,2008-03-01 13:21:45,393200000
205,1937204,АМАНГЕЛЬДИНСКИЙ РАЙОН,АМАНГЕЛДІ АУДАНЫ,2008-03-01 13:21:45,393430000
206,1937205,АМАНТОГАЙСКИЙ РАЙОН,АМАНТОЄАЙ АУДАНЫ,2008-03-01 13:21:45,393437000
207,1937410,АРКАЛЫК,АРЌАЛЫЌ,2008-03-01 13:21:45,391610000
208,1937207,АРКАЛЫКСКИЙ РАЙОН,АРЌАЛЫЌ АУДАНЫ,2008-03-01 13:21:45,391600000
209,1937240,АУЛИЕКОЛЬСКИЙ РАЙОН,ЈУЛИЕКҐЛ АУДАНЫ,2008-03-01 13:21:45,393600000
210,1937236,ДЕНИСОВСКИЙ РАЙОН,ДЕНИСОВ АУДАНЫ,2008-03-01 13:21:45,394000000
211,1937216,ЖАНГЕЛЬДИНСКИЙ РАЙОН,ЖАНГЕЛДИН АУДАНЫ,2014-09-16 16:55:55,394200000
212,1937404,ДЖЕТЫГАРА,ЖЕТІЌАРА,2008-03-01 13:21:45,394420100
213,1937206,ЖИТИКАРИНСКИЙ РАЙОН,ЖІТІЌАРА АУДАНЫ,2008-03-01 13:21:45,394400000
214,1937210,КАМЫСТИНСКИЙ РАЙОН,ЌАМЫСТЫ АУДАНЫ,2008-03-01 13:21:45,394800000
215,1937218,КАРАБАЛЫКСКИЙ РАЙОН,ЌАРАБАЛЫЌ АУДАНЫ,2008-03-01 13:21:45,395000000
216,1937214,КАРАСУСКИЙ РАЙОН,ЌАРАСУ АУДАНЫ,2008-03-01 13:21:45,395200000
217,1937401,КОСТАНАЙ,ЌОСТАНАЙ,2008-03-01 13:21:45,391010000
218,1937222,КОСТАНАЙСКИЙ РАЙОН,ЌОСТАНАЙ АУДАНЫ,2008-03-01 13:21:45,395400000
219,1937406,ЛИСАКОВСК,ЛИСАКОВСК,2008-03-01 13:21:45,392010000
220,1937203,МЕНДЫКАРИНСКИЙ РАЙОН,МЕЅДІЌАРА АУДАНЫ,2008-03-01 13:21:45,395600000
221,1937232,НАУРЗУМСКИЙ РАЙОН,НАУРЗЫМ АУДАНЫ,2008-03-01 13:21:45,395800000
222,1937238,ОКТЯБРЬСКИЙ РАЙОН,ОКТЯБРЬ АУДАНЫ,2008-03-01 13:21:45,351011100
223,1937408,РУДНЫЙ,РУДНЫЙ,2008-03-01 13:21:45,392410000
224,1937248,САРЫКОЛЬСКИЙ РАЙОН,САРЫКҐЛ АУДАНЫ,2008-03-01 13:21:45,396200000
225,1937244,ТАРАНОВСКИЙ РАЙОН,ТАРАН АУДАНЫ,2008-03-01 13:21:45,396400000
226,1937226,УЗУНКОЛЬСКИЙ РАЙОН,ЎЗЫНКҐЛ АУДАНЫ,2008-03-01 13:21:45,396600000
227,1937252,ФЕДОРОВСКИЙ РАЙОН,ФЕДОРОВ АУДАНЫ,2008-03-01 13:21:45,396800000
228,1943401,АКТАУ,АЌТАУ,2008-03-01 13:21:45,471010000
229,1943205,БЕЙНЕУСКИЙ РАЙОН,БЕЙНЕУ АУДАНЫ,2008-03-01 13:21:45,473600000
230,1943404,ЖАНАОЗЕН,ЖАЅАҐЗЕН,2008-03-01 13:21:45,471810000
